id	result
5000367	{'拜登': -2, '美国': -2}
5000368	{'运势': 0}
5000369	{'联合国': -2, '美国': -2}
5000370	{'尹某': -2, '商丘市': -2, '虞城县': -2}
5000371	{'长津湖': 0, '票房': -2, '中国': -2}
5000372	{'哈雷尔': -2, '波普': -2}
5000373	{'王芝琳': 0, '浙江队': 0, '杨倩': 0, '辽宁': -2, '辽宁队': 0}
5000374	{'字母哥': 0, '阿奴诺比': 0, '猛龙': 0, '得分': -2, '西亚卡姆': 0}
5000375	{'篮网': 0, '米尔斯': 0, '杜兰特': 0, '球队': -2}
5000376	{'肖战': -2, '粉丝': -2}
5000377	{'周瑜': 0}
5000378	{'毛治高': -2}
5000379	{'病例': -2, '哈尔滨市': -2}
5000380	{'何猷君': 0, '何超欣': 0, '何鸿焱': 0}
5000381	{'詹姆斯': 0, '威少': -2}
5000382	{'Yumi': -2, '王力宏': -2}
5000383	{'加斯帕德·尤利尔': 0, '法国': -2}
5000384	{'东部机场集团有限公司': -2}
5000385	{'原油': -2, '美国': -2}
5000386	{'日本': -2, '零部件': -2}
5000387	{'汽车': -2, '比亚迪': 0}
5000388	{'张某': -1}
5000389	{'感染者': -2, '林某杰': -2}
5000390	{'大兴区': -2, '怀柔': -2}
5000391	{'李泽厚': -2}
5000392	{'航班': -2}
5000393	{'篮网': 0, '欧文': 0, '外线': -2, '米尔斯': -2}
5000394	{'逯恣祯': 0, '观众': -2, '前行者': 0}
5000395	{'吕立军': -1, '刘三芳': -2, '赞皇县': -2}
5000396	{'三门峡市': -2, '三门峡市文物考古研究所': -2}
5000397	{'海淀区': -2, '北京市': -2}
5000398	{'洪某某': -2, '洪芳珍': -2}
5000399	{'终结者': -2}
5000400	{'屈臣氏': -1, '延庆': -2, '宋岚': -2}
5000401	{'雪梨': -1, '薇娅': -1, '林珊珊': -1}
5000402	{'张霞': -2, '周婷': -2}
5000403	{'马晓伟': -2, '刘二狗': 0}
5000404	{'伊朗': -2}
5000405	{'朱律师': -2}
5000406	{'李波': -2, '国际货币基金组织': -2}
5000407	{'美国': -2, '英国': -2}
5000408	{'哈萨克斯坦': -2, '美军': -2}
5000409	{'觉醒年代': 0, '张桐': -2, '央视': -2}
5000410	{'王源': 0, '易烊千玺': -2, '王俊凯': -2}
5000411	{'温碧霞': 0, '刘晓庆': 0, '邬倩倩': 0, '杨丽菁': 0, '女星': -2}
5000412	{'苏贞昌': -1, '游锡堃': -1, '吴钊燮': -1, '国台办': -2, '台湾': -2}
5000413	{'温州': -2, '东海': -2}
5000414	{'汪明荃': 0}
5000415	{'刑事': -2, '律师': -2}
5000416	{'天津市': -2, '郑环宇': -2}
5000417	{'李佳琦': 0, '辛巴': 0}
5000418	{'票房': -2, '长津湖': 0}
5000419	{'雷军': -2}
5000420	{'墨戎苗寨': 0}
5000421	{'香港': -2, '梁君彦': -2}
5000422	{'贾雄辉': 0, '王浩': -2, '丁红杰': 0}
5000423	{'罗志祥': -2, '台湾': -2}
5000424	{'达菲': -2, '雪莉玫': -2}
5000425	{'联合国': -2, '苏丹': -2}
5000426	{'哈登': 0, '库里': 0}
5000427	{'病例': -2, '洋县': -2}
5000428	{'老干妈': -2, '贵阳': -2}
5000429	{'德国': -2, '立陶宛': -2}
5000430	{'被告人': -2, '曹某某': -1}
5000431	{'谌利军': 0}
5000432	{'人工智能': 0}
5000433	{'上海证券': -2, '上海': -2}
5000434	{'约翰逊': -2, '英国': -2}
5000435	{'中山': -2, '核酸': -2}
5000436	{'中国': -2}
5000437	{'彭先生': -2, '北京': -2}
5000438	{'台积电': -2, '标准数字化知识图谱白皮书': -2}
5000439	{'内蒙古': -2, '蚂蚁森林277号': -2}
5000440	{'肖战': 0, '重庆工商大学': -2, '粉丝': -2}
5000441	{'山东': -2, '威海': -2}
5000442	{'张铭': -2}
5000443	{'上海': -2}
5000444	{'景点': -2}
5000445	{'郑州市': -2}
5000446	{'乌兹别克': -2, '乌兹别克斯坦': -2}
5000447	{'南京': -2}
5000448	{'塔利班': -2, '阿富汗': -2}
5000449	{'戴某涛': -2, '范某恢': -1, '范某川': -1, '渭南市': -2, '陕西': -2}
5000450	{'奥密克戎': -2, '病毒': -2}
5000451	{'记者': -2}
5000452	{'学校': -2, '高中': -2}
5000453	{'唐纳德·特朗普': -2, '特朗普': -2, '纽约时报': -2}
5000454	{'二驴': -2, '散打哥': -2}
5000455	{'郑州': -2}
5000456	{'曹可凡': 0, '佟丽娅': 0, '唐嫣': 0, '王冠': 0, '演员': -2, '春晚': -2}
5000457	{'刘涛': 0, '电视剧': -2}
5000458	{'二驴': -2, '北京': -2}
5000459	{'夏伯渝': 0, '珠峰': -2}
5000460	{'李小萌': 0}
5000461	{'史密森热带研究所': -2, '天使鲨': -2}
5000462	{'河北省': -2, '国际奥委会': -2}
5000463	{'北京市': -2, '刘某某': -2}
5000464	{'中国': -2, '安德海': 0}
5000465	{'湖人': 0, '步行者': 0, '小萨': -2}
5000466	{'杜兰特': -2, '篮网': 0}
5000467	{'中国': -2, '加拿大': -2}
5000468	{'郑涛': 0, '金牌': -2, '中国': -2}
5000469	{'申通快递': -2}
5000470	{'刘宇宁': -2}
5000471	{'李某': -1}
5000472	{'当地时间': -2, '哈萨克斯坦': -2}
5000473	{'文物': -2, '三星堆': -2}
5000474	{'意大利': -2, '英国': -2}
5000475	{'奚梦瑶': 0, '何猷君': -2}
5000476	{'齐齐哈尔市': -2, '阴性': -2}
5000477	{'张芦依': -2}
5000478	{'原油': -2, '跌幅': -2}
5000479	{'新时代': -2, '习近平': -2}
5000480	{'张晓龙': 0, '尚九熙': 0, '吴建豪': 0}
5000481	{'还珠格格': 0, '演员': -2, '演技': -2}
5000482	{'美国': -2, '股票': -2}
5000483	{'白百何': 0}
5000484	{'韩国': -2, '台铁': -2}
5000485	{'肖战': 0, '亚太': -2}
5000486	{'公主': -2, '李隆基': -2}
5000487	{'香港': -2, '英国': -2}
5000488	{'台州': -2, '宁波': -2}
5000489	{'沈阳': -2}
5000490	{'皇帝': -2, '隋文帝': -2}
5000491	{'高铁': -2, '郑渝': -2}
5000492	{'市教育局': -2, '淄博': -2}
5000493	{'山西': -2, '气温': -2}
5000494	{'民进党': -1, '庞建国': -2}
5000495	{'中国': -2}
5000496	{'张学松': -1, '于月仙': -2, '于妈妈': -2}
5000497	{'汪小菲': -2, '台湾': -2}
5000498	{'病例': -2, '贺青华': -2}
5000499	{'世锦赛': -2, '中国女排': -2}
5000500	{'李现': 0, '三亚': -2, '韩商言': -2}
5000501	{'林为洲': -2, '苏伟硕': -2}
5000502	{'中国': -2, '主席': -2}
5000503	{'美国': -2, '美联社': -2}
5000504	{'中国': -2}
5000505	{'王丽坤': 0, '郑恺': -2, '于和伟': 0, '林更新': 0, '黄景瑜': -2}
5000506	{'小米': -2}
5000507	{'希腊': -2, '北京冬奥组委': -2}
5000508	{'王志文': 0, '江珊': 0, '许晴': 0}
5000509	{'场馆': -2, '北京冬奥组委': -2}
5000510	{'加拿大': -2, '加拿大鹅': -2}
5000511	{'阿里云': -2}
5000512	{'华为': -2, '姚安娜': -2}
5000513	{'柯克兰': -1, '中国': -2, '孟晚舟': -2}
5000514	{'公寓': -2, '长沙': -2}
5000515	{'王力宏': 0, '李靓蕾': -2}
5000516	{'太原市纪委': -2, '太原市': -2}
5000517	{'河间市': -2}
5000518	{'北交所': -2, '基金': -2}
5000519	{'当家主母': 0, '于正': -2, '剧情': -1}
5000520	{'市场监管总局': -2, '中华人民共和国反垄断法': -2}
5000521	{'汪永其': -1}
5000522	{'邓文迪': 0, '默多克': -2}
5000523	{'金元足球': -2, '中国': -2, '足球': -2}
5000524	{'日本': -2, '盘锦': -2}
5000525	{'春秋道': -2, '阴谋': -2}
5000526	{'综艺': -2, '节目': -2}
5000527	{'国足': -2, '阿曼': -2}
5000528	{'李隼': 0}
5000529	{'角色': -2, '人设': -2, '古装': -2, '男主': -2}
5000530	{'劳荣枝': -2, '合肥': -2}
5000531	{'中国': 0}
5000532	{'温州': -2}
5000533	{'美国': -2, '俄罗斯': -2}
5000534	{'球员': -2, '李铁': -2}
5000535	{'哈里梅根': 0, '布兰德雷斯': -2}
5000536	{'汽车': -2}
5000537	{'核酸': -2, '阴性': -2}
5000538	{'投资者': -2, '资产': -2}
5000539	{'病例': -2, '深圳': -2}
5000540	{'细胞': -2}
5000541	{'记者': -2, '仝宗旗': -2}
5000542	{'立陶宛': -2, '奥委会': -2}
5000543	{'汤加': -2, '太平洋': -2}
5000544	{'香港': -2, '艺人': -2}
5000545	{'塔博维尔': -2, '美国': -2, '中国': -2}
5000546	{'齐勇凯': 0, '董飞霞': 0, '李樟煜': 0, '中国': -2}
5000547	{'小芳': -2}
5000548	{'沈腾': 0, '尹正': 0, '周奇': 0, '王彦霖': 0, '乔杉': 0}
5000549	{'詹姆斯': 0}
5000550	{'利拉德': -1, '赛季': -2, '命中率': -2}
5000551	{'黄志忠': 0}
5000552	{'林满江': 0, '石红杏': -2, '齐本安': -2}
5000553	{'小鲜肉': 0, '刘德华': 0, '王晶': 0, '范丞丞': 0, '艺人': -2, '导演': -2}
5000554	{'俄罗斯': -2, '报纸报': -2}
5000555	{'粉丝': -2, '艺人': -2}
5000556	{'张国伟': 0, '中国': -2}
5000557	{'国务院': -2}
5000558	{'西安': -2}
5000559	{'徐若瑄': 0}
5000560	{'台湾': -2, '中国': -2}
5000561	{'球员': -2, '纽约': -2}
5000562	{'廖一梅': 0, '白冰': 0, '乘风破浪的姐姐': 0}
5000563	{'拉塞尔': -2}
5000564	{'均价': -2, '北辰': -2}
5000565	{'长城': -2, '中国': -2}
5000566	{'杜淳': 0, '王灿': 0, '综艺节目': -2}
5000567	{'西安市': -2, '地区': -2}
5000568	{'赵黄巢': -2, '轩辕青锋': 0}
5000569	{'美国': -2, '美国太平洋舰队': -2}
5000570	{'阿里巴巴': -2}
5000571	{'郭艾伦': 0, '裁判': -2}
